TEAM,TEAM_ABBRV,CONF,DIVISION,GP,PPG,oPPG,pDIFF,PACE,oEFF,dEFF,eDIFF,SOS,rSOS,SAR,CONS,A4F,W,L,WIN%,eWIN%,pWIN%,ACH,STRK
Atlanta,Atl,East,Southeast,82,113.9,112.4,1.5,97.7,116.5,114.9,1.6,-0.03,-0.6,1.57,13.4,-0.01,43,39,0.524,0.548,0.549,-0.024,W1
Boston,Bos,East,Atlantic,82,111.8,104.5,7.3,96.6,114.4,107,7.4,-0.06,0,7.34,16.7,0.062,51,31,0.622,0.671,0.74,-0.049,W1
Brooklyn,Bro,East,Atlantic,82,112.9,112.1,0.8,99,113.6,112.9,0.7,-0.3,-0.1,0.4,14.6,0.037,44,38,0.537,0.519,0.526,0.018,W4
Charlotte,Cha,East,Southeast,82,115.3,114.9,0.4,100,114.2,113.8,0.4,0.38,5.1,0.78,15.6,-0.023,43,39,0.524,0.51,0.513,0.014,W3
Chicago,Chi,East,Central,82,111.6,112,-0.4,98.3,113.2,113.6,-0.4,0.26,0,-0.14,15.4,-0.006,46,36,0.561,0.49,0.487,0.071,W1
Cleveland,Cle,East,Central,82,107.8,105.7,2.1,96.1,111.9,109.7,2.2,-0.23,-2,1.97,13.3,0.04,44,38,0.537,0.566,0.569,-0.029,W1
Dallas,Dal,West,Southwest,82,108,104.7,3.3,95.4,112.9,109.4,3.5,-0.46,0,3.04,16.3,0.017,52,30,0.634,0.585,0.609,0.049,W4
Denver,Den,West,Northwest,82,112.7,110.4,2.3,97.8,114.5,112.2,2.3,-0.49,0,1.81,14.4,0.047,48,34,0.585,0.564,0.576,0.021,L1
Detroit,Det,East,Central,82,104.8,112.5,-7.7,98.4,106,113.8,-7.8,1.16,0,-6.64,12.5,-0.077,23,59,0.28,0.267,0.246,0.013,L3
Golden State,Gol,West,Pacific,82,111,105.5,5.5,98.3,112.6,107,5.6,-0.97,0,4.63,14.9,0.074,53,29,0.646,0.647,0.681,-0.001,W5
Houston,Hou,West,Southwest,82,109.7,118.2,-8.5,100.8,108.4,116.8,-8.4,0.36,0,-8.04,13.3,-0.012,20,62,0.244,0.264,0.22,-0.02,L7
Indiana,Ind,East,Central,82,111.5,114.9,-3.4,98,112.6,116.1,-3.5,0.57,0,-2.93,13.7,-0.014,25,57,0.305,0.399,0.388,-0.094,L10
LA Clippers,Lac,West,Pacific,82,108.4,108.4,0,97.9,110.2,110.2,0,-0.32,5,-0.32,15.5,0.016,42,40,0.512,0.5,0.5,0.012,W5
LA Lakers,Lal,West,Pacific,82,112.1,115.1,-3,99.9,110.5,113.5,-3,0.05,0,-2.95,12.9,-0.007,33,49,0.402,0.408,0.401,-0.006,W2
Memphis,Mem,West,Southwest,82,115.6,109.9,5.7,100.3,114.7,109,5.7,-0.39,0,5.31,18.4,-0.005,56,26,0.683,0.622,0.688,0.061,L1
Miami,Mia,East,Southeast,82,110,105.6,4.4,95.9,113.7,109.1,4.6,-0.63,0,3.97,14.3,0.033,53,29,0.646,0.626,0.645,0.02,L1
Milwaukee,Mil,East,Central,82,115.5,112.1,3.4,99.9,115.2,111.8,3.4,-0.35,0,3.05,16.3,0.023,51,31,0.622,0.583,0.612,0.039,L1
Minnesota,Min,West,Northwest,82,115.9,113.3,2.6,100.9,114.4,111.8,2.6,0.43,-2.4,3.03,15.9,-0.02,46,36,0.561,0.565,0.586,-0.004,L1
New Orleans,Nor,West,Southwest,82,109.3,110.3,-1,97.2,112,113,-1,0.46,0.4,-0.54,16.6,-0.035,36,46,0.439,0.476,0.467,-0.037,L2
New York,Nyk,East,Atlantic,82,106.5,106.6,-0.1,95.8,110.5,110.7,-0.2,0.3,0,0.1,14,0.002,37,45,0.451,0.494,0.497,-0.043,W2
Oklahoma City,Okc,West,Northwest,82,103.7,111.8,-8.1,98.5,104.6,112.8,-8.2,0.57,0,-7.63,15.7,-0.049,24,58,0.293,0.301,0.233,-0.008,L3
Orlando,Orl,East,Southeast,82,104.2,112.2,-8,99.2,104.5,112.6,-8.1,0.96,0,-7.14,13.4,-0.037,22,60,0.268,0.272,0.237,-0.004,W1
Philadelphia,Phi,East,Atlantic,82,109.9,107.3,2.6,96.2,113.5,110.8,2.7,0.2,0,2.9,14.7,0.001,51,31,0.622,0.573,0.586,0.049,W2
Phoenix,Pho,West,Pacific,82,114.8,107.3,7.5,99.7,114.9,107.4,7.5,-1.03,0,6.47,13.3,0.037,64,18,0.78,0.713,0.747,0.067,L1
Portland,Por,West,Northwest,82,106.2,115.1,-8.9,98.2,107.9,116.9,-9,0.28,0,-8.72,17.4,-0.059,27,55,0.329,0.302,0.207,0.027,L11
Sacramento,Sac,West,Pacific,82,110.3,115.8,-5.5,99.7,110,115.4,-5.4,-0.14,0,-5.54,13.9,-0.038,30,52,0.366,0.349,0.319,0.017,W1
San Antonio,San,West,Southwest,82,113.2,113,0.2,100,112.4,112.3,0.1,-0.35,1.4,-0.25,14.7,-0.024,34,48,0.415,0.503,0.507,-0.088,L3
Toronto,Tor,East,Atlantic,82,109.4,107.1,2.3,96,112.9,110.6,2.3,-0.02,0,2.28,14.8,-0.07,48,34,0.585,0.562,0.576,0.023,L1
Utah,Uta,West,Northwest,82,113.6,107.6,6,97.1,116.7,110.5,6.2,-0.71,0,5.49,15.7,0.082,49,33,0.598,0.653,0.698,-0.055,W1
Washington,Was,East,Southeast,82,108.6,112,-3.4,97,111.1,114.6,-3.5,-0.3,0,-3.8,13.5,0.015,35,47,0.427,0.398,0.388,0.029,L3